,Season,Set,Difficulty,Head Editor,Literature,History,Science,Arts,Beliefs,Thought,Other
148,2012-13,<a href = '../sets/12-13-penn-ance'>Penn-ance</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/eric-mukherjee'>Eric Mukherjee</a>,<a href = '../players/saajid-moyen'>Saajid Moyen</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/dallas-simons'>Dallas Simons</a> <i style = 'font-size:80%'>History</i><br><a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>History</i><br><a href = '../players/patrick-liao'>Patrick Liao</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Science</i><br><a href = '../players/james-lasker'>James Lasker</a> <i style = 'font-size:80%'>Physics, Other</i><br><a href = '../players/saajid-moyen'>Saajid Moyen</a> <i style = 'font-size:80%'>Other</i>","<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Visual, Other</i><br><a href = '../players/saajid-moyen'>Saajid Moyen</a> <i style = 'font-size:80%'>Auditory, Other</i>",<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Thought</i><br><a href = '../players/jerry-vinokurov'>Jerry Vinokurov</a> <i style = 'font-size:80%'>Philosophy</i>,
149,2012-13,<a href = '../sets/12-13-quark'>QUARK</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,Communal,,,,,,,
150,2012-13,<a href = '../sets/12-13-vcu-closed'>VCU Closed</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/matt-weiner'>Matt Weiner</a>,<a href = '../players/matt-weiner'>Matt Weiner</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/matt-weiner'>Matt Weiner</a> <i style = 'font-size:80%'>History</i>,<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Science</i>,<a href = '../players/matt-weiner'>Matt Weiner</a> <i style = 'font-size:80%'>Arts</i>,<a href = '../players/matt-weiner'>Matt Weiner</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/matt-weiner'>Matt Weiner</a> <i style = 'font-size:80%'>Thought</i>,<a href = '../players/matt-weiner'>Matt Weiner</a> <i style = 'font-size:80%'>Other</i>
151,2012-13,<a href = '../sets/12-13-acf-nationals'>ACF Nationals</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/jonathan-magin'>Jonathan Magin</a>,<a href = '../players/jonathan-magin'>Jonathan Magin</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/bruce-arthur'>Bruce Arthur</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/andrew-ullsperger'>Andrew Ullsperger</a> <i style = 'font-size:80%'>Biology, Chemistry</i><br><a href = '../players/mike-sorice'>Mike Sorice</a> <i style = 'font-size:80%'>Physics, Other</i>",<a href = '../players/jonathan-magin'>Jonathan Magin</a> <i style = 'font-size:80%'>Auditory</i><br><a href = '../players/mike-bentley'>Mike Bentley</a> <i style = 'font-size:80%'>Visual</i>,<a href = '../players/bruce-arthur'>Bruce Arthur</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/mike-sorice'>Mike Sorice</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/jerry-vinokurov'>Jerry Vinokurov</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/jonathan-magin'>Jonathan Magin</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/mike-sorice'>Mike Sorice</a> <i style = 'font-size:80%'>Philosophy</i>,<a href = '../players/bruce-arthur'>Bruce Arthur</a> <i style = 'font-size:80%'>Other</i>
152,2012-13,<a href = '../sets/12-13-di-ict'>DI ICT</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
153,2011-12,<a href = '../sets/11-12-acf-fall'>ACF Fall</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/carsten-gehring'>Carsten Gehring</a>,<a href = '../players/sam-luongo'>Sam Luongo</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/matt-bollinger'>Matt Bollinger</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/gaurav-kandlikar'>Gaurav Kandlikar</a> <i style = 'font-size:80%'>Biology, Chemistry, Other</i><br><a href = '../players/matt-menard'>Matt Menard</a> <i style = 'font-size:80%'>Physics, Other</i>",<a href = '../players/bryan-berend'>Bryan Berend</a> <i style = 'font-size:80%'>Arts</i>,<a href = '../players/matt-menard'>Matt Menard</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/matt-menard'>Matt Menard</a> <i style = 'font-size:80%'>Philosophy</i>,<a href = '../players/matt-hart'>Matt Hart</a> <i style = 'font-size:80%'>Other</i>
154,2011-12,<a href = '../sets/11-12-ccct'>CCCT</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,NAQT,,,,,,,
155,2011-12,<a href = '../sets/11-12-collegiate-novice'>Collegiate Novice</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/andrew-hart'>Andrew Hart</a>,,,,,,,
156,2011-12,<a href = '../sets/11-12-delta-burke'>Delta Burke</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,Chris Borglum,,,,,,,
157,2011-12,<a href = '../sets/11-12-dii-sct'>DII SCT</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,NAQT,,,,,,,
158,2011-12,<a href = '../sets/11-12-magni'>MAGNI</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/auroni-gupta'>Auroni Gupta</a><br><a href = '../players/john-lawrence'>John Lawrence</a><br><a href = '../players/matt-jackson'>Matt Jackson</a>,<a href = '../players/john-lawrence'>John Lawrence</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/matt-jackson'>Matt Jackson</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/auroni-gupta'>Auroni Gupta</a> <i style = 'font-size:80%'>Biology, Chemistry</i><br><a href = '../players/jerry-vinokurov'>Jerry Vinokurov</a> <i style = 'font-size:80%'>Physics, Other</i>",<a href = '../players/john-lawrence'>John Lawrence</a> <i style = 'font-size:80%'>Arts</i>,<a href = '../players/matt-jackson'>Matt Jackson</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/chris-chiego'>Chris Chiego</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/matt-jackson'>Matt Jackson</a> <i style = 'font-size:80%'>Thought</i>,<a href = '../players/chris-chiego'>Chris Chiego</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/matt-jackson'>Matt Jackson</a> <i style = 'font-size:80%'>Other</i>
159,2011-12,<a href = '../sets/11-12-mut'>MUT</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,Minnesota,,,,,,,
160,2011-12,<a href = '../sets/11-12-acf-regionals'>ACF Regionals</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/trevor-davis'>Trevor Davis</a>,"<a href = '../players/auroni-gupta'>Auroni Gupta</a> <i style = 'font-size:80%'>European, World</i><br><a href = '../players/trevor-davis'>Trevor Davis</a> <i style = 'font-size:80%'>American, British</i>","<a href = '../players/guy-tabachnick'>Guy Tabachnick</a> <i style = 'font-size:80%'>European, World</i><br><a href = '../players/trevor-davis'>Trevor Davis</a> <i style = 'font-size:80%'>American</i>",<a href = '../players/will-butler'>Will Butler</a> <i style = 'font-size:80%'>Science</i>,<a href = '../players/john-lawrence'>John Lawrence</a> <i style = 'font-size:80%'>Arts</i>,<a href = '../players/auroni-gupta'>Auroni Gupta</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/auroni-gupta'>Auroni Gupta</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/guy-tabachnick'>Guy Tabachnick</a> <i style = 'font-size:80%'>Social Science</i>,<a href = '../players/guy-tabachnick'>Guy Tabachnick</a> <i style = 'font-size:80%'>Geography</i><br><a href = '../players/trevor-davis'>Trevor Davis</a> <i style = 'font-size:80%'>Other</i>
161,2011-12,<a href = '../sets/11-12-barge'>BARGE</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/chris-ray'>Chris Ray</a>,,,,,,,
162,2011-12,<a href = '../sets/11-12-di-sct'>DI SCT</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
163,2011-12,<a href = '../sets/11-12-dii-ict'>DII ICT</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
164,2011-12,<a href = '../sets/11-12-moo'>MOO</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/matt-bollinger'>Matt Bollinger</a>,"<a href = '../players/kurtis-droge'>Kurtis Droge</a> <i style = 'font-size:80%'>British</i><br><a href = '../players/matt-bollinger'>Matt Bollinger</a> <i style = 'font-size:80%'>European, World</i><br><a href = '../players/sam-luongo'>Sam Luongo</a> <i style = 'font-size:80%'>American</i>",<a href = '../players/kurtis-droge'>Kurtis Droge</a> <i style = 'font-size:80%'>American</i><br><a href = '../players/libo-zeng'>Libo Zeng</a> <i style = 'font-size:80%'>European</i>,"<a href = '../players/libo-zeng'>Libo Zeng</a> <i style = 'font-size:80%'>Physics, Chemistry</i><br><a href = '../players/will-butler'>Will Butler</a> <i style = 'font-size:80%'>Biology, Other</i>",<a href = '../players/bryan-berend'>Bryan Berend</a> <i style = 'font-size:80%'>Arts</i>,<a href = '../players/matt-bollinger'>Matt Bollinger</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/sam-luongo'>Sam Luongo</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/kurtis-droge'>Kurtis Droge</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/matt-bollinger'>Matt Bollinger</a> <i style = 'font-size:80%'>Philosophy</i>,<a href = '../players/kurtis-droge'>Kurtis Droge</a> <i style = 'font-size:80%'>Geography</i>
165,2011-12,<a href = '../sets/11-12-penn-bowl'>Penn Bowl</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/eric-mukherjee'>Eric Mukherjee</a>,,,,,,,
166,2011-12,<a href = '../sets/11-12-acf-nationals'>ACF Nationals</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/jonathan-magin'>Jonathan Magin</a>,<a href = '../players/jonathan-magin'>Jonathan Magin</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/bruce-arthur'>Bruce Arthur</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/jerry-vinokurov'>Jerry Vinokurov</a> <i style = 'font-size:80%'>Physics, Other</i><br><a href = '../players/susan-ferrari'>Susan Ferrari</a> <i style = 'font-size:80%'>Biology, Chemistry</i>",<a href = '../players/jonathan-magin'>Jonathan Magin</a> <i style = 'font-size:80%'>Arts</i>,<a href = '../players/bruce-arthur'>Bruce Arthur</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/susan-ferrari'>Susan Ferrari</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/jerry-vinokurov'>Jerry Vinokurov</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/jonathan-magin'>Jonathan Magin</a> <i style = 'font-size:80%'>Social Science</i>,<a href = '../players/bruce-arthur'>Bruce Arthur</a> <i style = 'font-size:80%'>Other</i>
167,2011-12,<a href = '../sets/11-12-college-history-bowl'>College History Bowl</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/matt-weiner'>Matt Weiner</a>,,,,,,,
168,2011-12,<a href = '../sets/11-12-di-ict'>DI ICT</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
169,2011-12,<a href = '../sets/11-12-minnesota-open'>Minnesota Open</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/andrew-hart'>Andrew Hart</a>,,,,,,,
170,2011-12,<a href = '../sets/11-12-peaceful-resolution'>Peaceful Resolution</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/ike-jose'>Ike Jose</a><br><a href = '../players/marshall-steinbaum'>Marshall Steinbaum</a>,,,,,,,
